image_id;irma_code;05_class;05_irma_code_submask;06_class;06_irma_code;07_irma_code;08_irma_code
1877;1121-117-720-452;52;11-1-72-4;\N;\N;\N;1121-117-720-452
1879;1121-117-720-452;52;11-1-72-4;\N;\N;\N;1121-117-720-452
1880;1121-127-700-500;51;11-1-70-5;94;1121-127-700-500;1121-127-700-500;1121-127-700-500
1882;1121-115-710-400;46;11-1-71-4;64;1121-115-710-400;1121-115-710-400;1121-115-710-400
1883;1121-115-700-400;17;11-1-70-4;14;1121-115-700-400;1121-115-700-400;1121-115-700-400
1887;1121-117-722-442;52;11-1-72-4;\N;\N;\N;1121-117-722-442
1888;1121-117-722-442;52;11-1-72-4;\N;\N;\N;1121-117-722-442
1891;1121-115-700-400;17;11-1-70-4;14;1121-115-700-400;1121-115-700-400;1121-115-700-400
1892;1121-127-700-500;51;11-1-70-5;94;1121-127-700-500;1121-127-700-500;1121-127-700-500
1893;1121-127-700-500;51;11-1-70-5;94;1121-127-700-500;1121-127-700-500;1121-127-700-500
1894;1121-127-720-512;\N;\N;\N;\N;\N;1121-127-720-512
1895;1121-127-700-500;51;11-1-70-5;94;1121-127-700-500;1121-127-700-500;1121-127-700-500
1899;1121-115-700-400;17;11-1-70-4;14;1121-115-700-400;1121-115-700-400;1121-115-700-400
1998;1121-127-700-500;51;11-1-70-5;94;1121-127-700-500;1121-127-700-500;1121-127-700-500
1999;1121-127-732-500;\N;\N;\N;\N;\N;1121-127-732-500
2029;1121-115-700-400;17;11-1-70-4;14;1121-115-700-400;1121-115-700-400;1121-115-700-400
2030;1121-115-700-400;17;11-1-70-4;14;1121-115-700-400;1121-115-700-400;1121-115-700-400
2031;1121-127-700-500;51;11-1-70-5;94;1121-127-700-500;1121-127-700-500;1121-127-700-500
2032;1121-127-700-500;51;11-1-70-5;94;1121-127-700-500;1121-127-700-500;1121-127-700-500
2033;1121-127-700-500;51;11-1-70-5;94;1121-127-700-500;1121-127-700-500;1121-127-700-500
2034;1121-115-700-400;17;11-1-70-4;14;1121-115-700-400;1121-115-700-400;1121-115-700-400
2035;1121-127-720-512;\N;\N;\N;\N;\N;1121-127-720-512
2036;1121-127-700-500;51;11-1-70-5;94;1121-127-700-500;1121-127-700-500;1121-127-700-500
2038;1121-127-700-500;51;11-1-70-5;94;1121-127-700-500;1121-127-700-500;1121-127-700-500
2040;1121-127-732-500;\N;\N;\N;\N;\N;1121-127-732-500
2041;1121-127-732-500;\N;\N;\N;\N;\N;1121-127-732-500
2042;1121-115-700-400;17;11-1-70-4;14;1121-115-700-400;1121-115-700-400;1121-115-700-400
2043;1121-127-700-500;51;11-1-70-5;94;1121-127-700-500;1121-127-700-500;1121-127-700-500
2044;1121-115-700-400;17;11-1-70-4;14;1121-115-700-400;1121-115-700-400;1121-115-700-400
2045;1121-127-700-500;51;11-1-70-5;94;1121-127-700-500;1121-127-700-500;1121-127-700-500
2046;1121-127-700-500;51;11-1-70-5;94;1121-127-700-500;1121-127-700-500;1121-127-700-500
2047;1121-115-700-400;17;11-1-70-4;14;1121-115-700-400;1121-115-700-400;1121-115-700-400
2132;1121-115-700-400;17;11-1-70-4;14;1121-115-700-400;1121-115-700-400;1121-115-700-400
2133;1121-127-700-500;51;11-1-70-5;94;1121-127-700-500;1121-127-700-500;1121-127-700-500
2134;1121-127-700-500;51;11-1-70-5;94;1121-127-700-500;1121-127-700-500;1121-127-700-500
2135;1121-127-720-512;\N;\N;\N;\N;\N;1121-127-720-512
2136;1121-120-820-700;55;11-1-82-7;110;1121-120-820-700;1121-120-820-700;1121-120-820-700
2137;1121-115-700-400;17;11-1-70-4;14;1121-115-700-400;1121-115-700-400;1121-115-700-400
2140;1121-110-411-700;3;11-1-41-7;11;1121-110-411-700;1121-110-411-700;1121-110-411-700
2143;1121-110-415-700;3;11-1-41-7;81;1121-110-415-700;1121-110-415-700;1121-110-415-700
2144;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2147;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2148;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2149;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2150;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2156;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2157;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2158;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2159;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2160;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2161;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2162;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2163;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2164;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2166;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2167;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2168;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2169;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2170;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2171;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2172;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2173;1121-110-415-700;3;11-1-41-7;81;1121-110-415-700;1121-110-415-700;1121-110-415-700
2175;1121-110-415-700;3;11-1-41-7;81;1121-110-415-700;1121-110-415-700;1121-110-415-700
2176;1121-110-415-700;3;11-1-41-7;81;1121-110-415-700;1121-110-415-700;1121-110-415-700
2177;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2179;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2180;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2181;1121-120-462-700;15;11-1-46-7;37;1121-120-462-700;1121-120-462-700;1121-120-462-700
